Region,,ISO code,Language name,,# Datasets
Indonesia,,kdw,Koneraw,,1
Indonesia,,opk,Kopkaka,,1
Indonesia,,xkq,Koroni,,1
Indonesia,,khe,Korowai,,2
Indonesia,,kpq,Korupun-Sela,,1
Indonesia,,kiq,Kosare,,1
Indonesia,,kkl,Kosarek Yale,,3
Indonesia,,mqg,Kota Bangun Kutai Malay,,0
Indonesia,,kwh,Kowiai,,1
Indonesia,,kvb,Kubu,,1
Indonesia,,kvd,Kui,,1
Indonesia,,tpg,Kula,,1
Indonesia,,vkl,Kulisusu,,1
Indonesia,,xks,Kumbewaha,,1
Indonesia,,mkn,Kupang Malay,,6
Indonesia,,kuv,Kur,,1
Indonesia,,nbn,Kuri,,1
Indonesia,,kjr,Kurudu,,1
Indonesia,,kwr,Kwer,,1
Indonesia,,kwe,Kwerba,,1
Indonesia,,xwr,Kwerba Mamberamo,,1
Indonesia,,kkb,Kwerisa,,1
Indonesia,,kwt,Kwesten,,1
Indonesia,,kuc,Kwinsu,,1
Indonesia,,lau,Laba,,1
Indonesia,,lhh,Laha,,0
Indonesia,,lji,Laiyolo,,1
Indonesia,,slp,Lamaholot,,1
Indonesia,,lmr,Lamalera,,1
Indonesia,,lmq,Lamatuka,,0
Indonesia,,lmy,Lamboya,,1
Indonesia,,ljp,Lampung Api,,3
Indonesia,,abl,Lampung Nyo,,3
Indonesia,,day,Land Dayak,,3
Indonesia,,lrt,Larantuka Malay,,0
Indonesia,,alo,Larike-Wakasihu,,1
Indonesia,,llm,Lasalimu,,1
Indonesia,,ltu,Latu,,0
Indonesia,,law,Lauje,,2
Indonesia,,lbx,Lawangan,,1
Indonesia,,lew,Ledo Kaili,,3
Indonesia,,lcc,Legenyem,,1
Indonesia,,lgi,Lengilu,,1
Indonesia,,lpe,Lepki,,1
Indonesia,,lti,Leti,,2
Indonesia,,lvu,Levuka,,0
Indonesia,,lwe,Lewoeleng,,0
Indonesia,,lwt,Lewotobi,,0
Indonesia,,ljl,Li’o,,2
Indonesia,,lix,Liabuku,,1
Indonesia,,ste,Liana-Seti,,0
Indonesia,,eip,Lik,,2
Indonesia,,lio,Liki,,0
Indonesia,,ley,Limola,,1
Indonesia,,lcs,Lisabata-Nuniali,,0
Indonesia,,lcl,Lisela,,1
Indonesia,,lcd,Lola,,0
Indonesia,,llq,Lolak,,0
Indonesia,,llg,Lole,,2
Indonesia,,loa,Loloda,,1
Indonesia,,lrn,Lorang,,0
Indonesia,,lox,Loun,,0
Indonesia,,lur,Loura,,1
Indonesia,,dni,Lower Grand Valley Dani,,2
Indonesia,,lex,Luang,,5
Indonesia,,lcf,Lubu,,1
Indonesia,,lcq,Luhu,,0
Indonesia,,lnd,Lundayeh,,2
Indonesia,,mhy,Ma’anyan,,2
Indonesia,,slz,Ma’ya,,1
Indonesia,,mqa,Maba,,0
Indonesia,,mad,Madura,,24
Indonesia,,ayz,Mai Brat,,1
