display_name,ISO code,Language,Relevant Countries,Country,# Speakers
Gresi (grs),grs,Gresi,Indonesia,Indonesia,2500
Haji (hji),hji,Haji,Indonesia,Indonesia,17500
Hamap (hmu),hmu,Hamap,Indonesia,Indonesia,900
Haruku (hrk),hrk,Haruku,Indonesia,Indonesia,18200
Hatam (had),had,Hatam,Indonesia,Indonesia,16000
Hawu (hvn),hvn,Hawu,Indonesia,Indonesia,110000
Helong (heg),heg,Helong,Indonesia,Indonesia,14000
Highland Konjo (kjk),kjk,Highland Konjo,Indonesia,Indonesia,150000
Hitu (htu),htu,Hitu,Indonesia,Indonesia,16000
Hoti (hti),hti,Hoti,Indonesia,Indonesia,10
Hovongan (hov),hov,Hovongan,Indonesia,Indonesia,1000
Huaulu (hud),hud,Huaulu,Indonesia,Indonesia,300
Hukumina (huw),huw,Hukumina,Indonesia,Indonesia,1
Hulung (huk),huk,Hulung,Indonesia,Indonesia,10
Hupla (hap),hap,Hupla,Indonesia,Indonesia,3000
Iau (tmu),tmu,Iau,Indonesia,Indonesia,600
Ibu (ibu),ibu,Ibu,Indonesia,Indonesia,35
Iha (ihp),ihp,Iha,Indonesia,Indonesia,5500
Iha Based Pidgin (ihb),ihb,Iha Based Pidgin,Indonesia,Indonesia,1
Ile Ape (ila),ila,Ile Ape,Indonesia,Indonesia,15000
Ili’uun (ilu),ilu,Ili’uun,Indonesia,Indonesia,1400
Imroing (imr),imr,Imroing,Indonesia,Indonesia,560
Indonesian (ind),ind,Indonesian,Indonesia,Indonesia,198000000
Indonesian Bajau (bdl),bdl,Indonesian Bajau,Indonesia,Indonesia,150000
Indonesian Sign Language (inl),inl,Indonesian Sign Language,Indonesia,Indonesia,8000
Irarutu (irh),irh,Irarutu,Indonesia,Indonesia,4000
Isirawa (srl),srl,Isirawa,Indonesia,Indonesia,1800
Itik (itx),itx,Itik,Indonesia,Indonesia,80
Jair Awyu (awv),awv,Jair Awyu,Indonesia,Indonesia,2300
Jambi Malay (jax),jax,Jambi Malay,Indonesia,Indonesia,1000000
Jangkang (djo),djo,Jangkang,Indonesia,Indonesia,37000
Javanese (jav),jav,Javanese,Indonesia,Indonesia,84300000
Javindo (jvd),jvd,Javindo,Indonesia,Indonesia,100
Jofotek-Bromnya (jbr),jbr,Jofotek-Bromnya,Indonesia,Indonesia,200
Kabola (klz),klz,Kabola,Indonesia,Indonesia,3900
Kaburi (uka),uka,Kaburi,Indonesia,Indonesia,600
Kadai (kzd),kzd,Kadai,Indonesia,Indonesia,350
