index,dataset,BLEU,SacreBLEU,chrF++,ROUGE1,ROUGE2,ROUGEL,ROUGELsum,BLEU_latin,SacreBLEU_latin,chrF++_latin,ROUGE1_latin,ROUGE2_latin,ROUGEL_latin,ROUGELsum_latin,prompt_id
38,ntrex_128_eng-US_zlm_seacrowd_t2t,7.878804661564073,7.916201410697465,45.27970082696214,29.120459209823302,15.38746028734948,27.793827063161498,27.978237682030215,7.844327425391941,7.891936623304701,45.253287144550576,29.072280666199507,15.350814178098219,27.757680228052905,27.91294146340745,0
39,ntrex_128_eng-US_tha_seacrowd_t2t,4.290608759185052,0.6315378656957609,22.23094753735762,6.028286094728078,2.899128561442087,5.866320725000925,5.9149609495641995,0.3989186539072157,0.42615099492204794,2.7781361553313353,4.908033960457055,1.4606306487392837,4.766118429732935,4.804633777154376,0
40,ntrex_128_eng-US_vie_seacrowd_t2t,12.374521117619231,12.40345276297282,39.03508760766489,49.53329467622207,31.617580074737038,40.85058397776616,41.14258860827701,1.1712365935734965,1.225667470026832,19.633320692132074,8.706187806458734,1.5511781339988862,7.58678178156757,8.055261654197915,0
41,ntrex_128_eng-US_hmv_seacrowd_t2t,0.7497770326800748,0.7516061256670764,17.620698253299693,7.105246610773463,1.1065571106839367,5.924506091860376,5.9716601095243425,0.7453350270510312,0.7497680960264311,17.621618264682372,7.101404743037362,1.1026692629709236,5.919971557733313,5.966964456864983,0
42,nusax_mt_eng_ind_seacrowd_t2t,6.026566290759073,6.11866333255873,41.658675250270896,29.529748598517486,13.318512679272018,27.151431267376548,27.19145291610871,6.019786869017825,6.111501717450462,41.64984551192204,29.510518000767664,13.286062352037748,27.09947240331768,27.23734246690666,0
43,nusax_mt_eng_ace_seacrowd_t2t,0.7940041592700571,0.8518794689678306,25.076593881666188,9.258764866906807,1.970390863781362,8.567918087643946,8.663925595328706,0.7939347162240792,0.8517993191186506,25.101550728557402,9.247708187953474,1.9981617941510328,8.585732712374305,8.667369807886988,0
44,nusax_mt_eng_jav_seacrowd_t2t,1.0735573718197269,1.1328578866856898,27.090471069202092,13.488547279762445,3.213939118561355,12.255092614557825,12.257254885843718,1.1702247157272205,1.227150085376808,27.49599240860561,13.66816535252034,3.351258396018539,12.439988956888268,12.423885207860769,0
45,nusax_mt_eng_sun_seacrowd_t2t,0.8353518853914887,0.8884597609626741,25.883385766437033,10.838589803697444,2.5930708708825767,9.82839545301372,9.87935305245611,0.8486325469466868,0.9019317762850118,26.06955013840976,11.079674858081288,2.6522933584370905,10.022935080247644,10.035892121325633,0
46,nusax_mt_eng_min_seacrowd_t2t,1.3837432129798857,1.435467505864528,29.109759171725212,14.094823667956122,3.693980263319177,12.931199188186204,12.9733340356063,1.3833311018382952,1.4350389367113068,29.108184450705128,14.097423780033097,3.687079364868282,12.90259519429638,12.952864118381868,0
47,nusax_mt_eng_bug_seacrowd_t2t,0.14180231224886808,0.21873785230304166,20.602748617504727,4.735091403326421,0.9584121569454876,4.437960523731318,4.45650928546546,0.14240539381780196,0.21934119247938816,20.688351623222523,4.707831843061585,0.9532272653964422,4.431758437325279,4.457371040677259,0
48,nusax_mt_eng_bbc_seacrowd_t2t,0.48945140557785755,0.564021713035579,23.128103770752954,6.404385983520788,1.4415702296293706,5.932688035662637,6.0451220336413405,0.48954633455741753,0.5639454660379813,23.1373712745032,6.409518977779351,1.4519195673353424,5.936335040767918,6.062791165827974,0
49,nusax_mt_eng_ban_seacrowd_t2t,0.5331407685146903,0.6015407226157262,23.63970477984709,7.962065668854031,1.8195229216409339,7.403953865838357,7.480978936470817,0.5386203337444612,0.607437782102197,24.093596722113965,8.16056309249548,1.8570956460344463,7.5791202736864225,7.6002805548024215,0
50,nusax_mt_eng_nij_seacrowd_t2t,0.389650706673762,0.40289772630352927,24.837068373975704,7.840787944601107,1.4245527845329293,7.438062786335746,7.470110211848735,0.3896369749511131,0.4028689528874997,24.85268398114242,7.846504626543105,1.420405449878744,7.436116770053519,7.478393954551099,0
51,nusax_mt_eng_mad_seacrowd_t2t,0.18993359108089555,0.29881284987117174,22.557943554433603,6.433257136585047,1.280491067561074,6.108365891485919,6.150014454185573,0.1900737953516053,0.29900057852180373,22.748456678299082,6.438412964829662,1.3139753117649609,6.111087711253129,6.1828585142682915,0
52,nusax_mt_eng_bjn_seacrowd_t2t,0.8712408041507469,0.9670178828436677,27.85854217599803,11.421370561740774,2.84668739709928,10.723601205508276,10.726615538057827,0.8711760196090709,0.966945413136625,27.861325028138317,11.352834765584454,2.841257702212413,10.653526368325625,10.677522528441806,0
53,flores200_ace_Latn_eng_Latn_seacrowd_t2t,1.9096836506587107,1.910883674878065,27.18691855290792,17.179745201315033,4.614807556649373,13.701389560817773,14.610933831449557,1.903977596912786,1.9083063248479384,27.181206982126742,17.195412464557116,4.595041582614772,13.709607679273347,14.614666402789428,0
54,flores200_ban_Latn_eng_Latn_seacrowd_t2t,3.157014808834403,3.143548638010985,31.647010493670123,21.29063243503777,7.718398725208206,17.58444110256135,18.596214466018207,3.134070314171191,3.1279330235770306,31.615382552026798,21.248573731653693,7.668111466008845,17.52927121410832,18.5199053707508,0
