,display_name,ISO code,Language,Relevant Countries,Country,# Speakers,is_in_seacrowd,population
131,Betaf (bfe),bfe,Betaf,Indonesia,Indonesia,600,True,<1K
132,Betawi (bew),bew,Betawi,Indonesia,Indonesia,5000000,True,<10M
133,Biak (bhw),bhw,Biak,Indonesia,Indonesia,70000,True,<100K
134,Bian Marind (bpv),bpv,Bian Marind,Indonesia,Indonesia,2900,True,<10K
135,Biatah Bidayuh (bth),bth,Biatah Bidayuh,"Indonesia, Malaysia",Indonesia,63900,True,<100K
136,Biga (bhc),bhc,Biga,Indonesia,Indonesia,300,True,<1K
137,Bilba (bpz),bpz,Bilba,Indonesia,Indonesia,7000,False,<10K
138,Bima (bhp),bhp,Bima,Indonesia,Indonesia,500000,True,<1M
139,Bintauna (bne),bne,Bintauna,Indonesia,Indonesia,11200,False,<100K
140,Biritai (bqq),bqq,Biritai,Indonesia,Indonesia,250,True,<1K
141,Blagar (beu),beu,Blagar,Indonesia,Indonesia,11000,True,<100K
142,Boano (bzn),bzn,Boano,Indonesia,Indonesia,3240,False,<10K
143,Boano (bzl),bzl,Boano,Indonesia,Indonesia,2700,True,<10K
144,Bobongko (bgb),bgb,Bobongko,Indonesia,Indonesia,1500,True,<10K
145,Bobot (bty),bty,Bobot,Indonesia,Indonesia,4500,True,<10K
146,Bolango (bld),bld,Bolango,Indonesia,Indonesia,23000,False,<100K
147,Bonerate (bna),bna,Bonerate,Indonesia,Indonesia,9500,True,<10K
148,Bonggo (bpg),bpg,Bonggo,Indonesia,Indonesia,790,True,<1K
149,Budong-Budong (bdx),bdx,Budong-Budong,Indonesia,Indonesia,70,True,<100
150,Bugis (bug),bug,Bugis,Indonesia,Indonesia,5500000,True,<10M
151,Bukar-Sadong Bidayuh (sdo),sdo,Bukar-Sadong Bidayuh,"Indonesia, Malaysia",Indonesia,49100,True,<100K
152,Bukat (bvk),bvk,Bukat,Indonesia,Indonesia,400,True,<1K
153,Bukit Malay (bvu),bvu,Bukit Malay,Indonesia,Indonesia,59000,False,<100K
154,Bukitan (bkn),bkn,Bukitan,"Indonesia, Malaysia",Indonesia,570,True,<1K
155,Buli (bzq),bzq,Buli,Indonesia,Indonesia,2520,True,<10K
156,Bulungan (blj),blj,Bulungan,Indonesia,Indonesia,30000,True,<100K
157,Bungku (bkz),bkz,Bungku,Indonesia,Indonesia,27000,False,<100K
158,Buol (blf),blf,Buol,Indonesia,Indonesia,96000,True,<100K
159,Burate (bti),bti,Burate,Indonesia,Indonesia,100,True,<1K
160,Burmeso (bzu),bzu,Burmeso,Indonesia,Indonesia,250,True,<1K
161,Buru (mhs),mhs,Buru,Indonesia,Indonesia,45000,True,<100K
162,Burumakok (aip),aip,Burumakok,Indonesia,Indonesia,40,True,<100
